"wavenumber","intensity"
674.9918,1.989431
678.8489,2.060391
682.706,2.060795
686.5631,2.082042
690.4202,2.065176
694.2773,2.062831
698.1344,2.060846
701.9915,2.051821
705.8486,2.041764
709.7057,2.040856
713.5628,2.044287
717.4199,2.027668
721.277,2.012359
725.1341,2.013169
728.9911,2.027445
732.8483,2.011176
736.7054,1.937991
740.5624,1.877805
744.4196,1.842205
748.2767,1.81812
752.1337,1.806291
755.9908,1.793234
759.848,1.776286
763.705,1.749534
767.5621,1.722731
771.4193,1.700141
775.2763,1.686315
779.1334,1.671267
782.9905,1.647689
786.8476,1.629017
790.7047,1.611086
794.5618,1.60243
798.4189,1.588336
802.276,1.556216
806.1331,1.526796
809.9902,1.500662
813.8473,1.475056
817.7043,1.454667
821.5615,1.437257
825.4186,1.423287
829.2756,1.413707
833.1328,1.40568
836.9899,1.396017
840.8469,1.385592
844.704,1.378149
848.5612,1.374458
852.4182,1.366825
856.2753,1.356421
860.1324,1.346823
863.9895,1.3405
867.8466,1.341551
871.7037,1.347046
875.5608,1.356224
879.4179,1.366492
883.275,1.367224
887.1321,1.367563
890.9892,1.37632
894.8463,1.396242
898.7034,1.435496
902.5605,1.497394
906.4176,1.546048
910.2747,1.55507
914.1318,1.563588
917.9889,1.599401
921.8459,1.649855
925.7031,1.727647
929.5602,1.864818
933.4172,2.011775
937.2744,1.982087
941.1315,1.811576
944.9885,1.671456
948.8456,1.583883
952.7028,1.532523
956.5598,1.493105
960.4169,1.462692
964.274,1.440047
968.1311,1.425877
971.9882,1.420416
975.8453,1.423887
979.7024,1.445342
983.5595,1.482229
987.4166,1.516832
991.2737,1.533268
995.1308,1.547538
998.9879,1.572458
1002.845,1.602838
1006.702,1.63394
1010.559,1.661085
1014.416,1.673543
1018.273,1.674585
1022.13,1.681189
1025.988,1.694849
1029.845,1.715282
1033.702,1.745757
1037.559,1.779539
1041.416,1.795572
1045.273,1.77392
1049.13,1.739949
1052.987,1.720635
1056.844,1.722118
1060.701,1.739836
1064.559,1.746655
1068.416,1.717206
1072.273,1.676439
1076.13,1.653948
1079.987,1.647363
1083.844,1.655
1087.701,1.674473
1091.558,1.688734
1095.415,1.692054
1099.272,1.691294
1103.13,1.68835
1106.987,1.69261
1110.844,1.692956
1114.701,1.684952
1118.558,1.686462
1122.415,1.705494
1126.272,1.732526
1130.129,1.775714
1133.986,1.85483
1137.843,1.94782
1141.7,2.00372
1145.558,2.021981
1149.415,1.998482
1153.272,1.938173
1157.129,1.891096
1160.986,1.868356
1164.843,1.874686
1168.7,1.918751
1172.557,2.001358
1176.414,2.096924
1180.271,2.148637
1184.129,2.159027
1187.986,2.16827
1191.843,2.209273
1195.7,2.264181
1199.557,2.293015
1203.414,2.257037
1207.271,2.182818
1211.128,2.124255
1214.985,2.09585
1218.842,2.100234
1222.699,2.138573
1226.557,2.163813
1230.414,2.162596
1234.271,2.174953
1238.128,2.18962
1241.985,2.20904
1245.842,2.234833
1249.699,2.240662
1253.556,2.240268
1257.413,2.268474
1261.271,2.297763
1265.128,2.328569
1268.985,2.346953
1272.842,2.360187
1276.699,2.368011
1280.556,2.33558
1284.413,2.293778
1288.27,2.267583
1292.127,2.2578
1295.984,2.248069
1299.841,2.232353
1303.698,2.224514
1307.556,2.211859
1311.413,2.194093
1315.27,2.179778
1319.127,2.176044
1322.984,2.174222
1326.841,2.176795
1330.698,2.184595
1334.555,2.193717
1338.412,2.194103
1342.27,2.194743
1346.127,2.208603
1349.984,2.223677
1353.841,2.240924
1357.698,2.267077
1361.555,2.297588
1365.412,2.324849
1369.269,2.33708
1373.126,2.340682
1376.983,2.307764
1380.84,2.273162
1384.698,2.255327
1388.555,2.228096
1392.412,2.200331
1396.269,2.178278
1400.126,2.170762
1403.983,2.183674
1407.84,2.204972
1411.697,2.254562
1415.554,2.330101
1419.411,2.360339
1423.269,2.306963
1427.125,2.275367
1430.983,2.274694
1434.84,2.280903
1438.697,2.292779
1442.554,2.304046
1446.411,2.296046
1450.268,2.287381
1454.125,2.299432
1457.982,2.32546
1461.839,2.347919
1465.697,2.353984
1469.554,2.347378
1473.411,2.351875
1477.268,2.349965
1481.125,2.319852
1484.982,2.260115
1488.839,2.226975
1492.696,2.234506
1496.553,2.253531
1500.41,2.280899
1504.268,2.317459
1508.125,2.355765
1511.982,2.363241
1515.839,2.386228
1519.696,2.436777
1523.553,2.493762
1527.41,2.517799
1531.267,2.534853
1535.124,2.556922
1538.981,2.57008
1542.838,2.559587
1546.696,2.524482
1550.553,2.490936
1554.41,2.479481
1558.267,2.461798
1562.124,2.435033
1565.981,2.42306
1569.838,2.395339
1573.695,2.377653
1577.552,2.319977
1581.409,2.288287
1585.267,2.280908
1589.124,2.276482
1592.981,2.268574
1596.838,2.278181
1600.695,2.30172
1604.552,2.326569
1608.409,2.351254
1612.266,2.392039
1616.123,2.4345
1619.98,2.459394
1623.837,2.481579
1627.695,2.521447
1631.552,2.547221
1635.409,2.547738
1639.266,2.566524
1643.123,2.589737
1646.98,2.607721
1650.837,2.567297
1654.694,2.479154
1658.551,2.456162
1662.408,2.42016
1666.266,2.391417
1670.123,2.368807
1673.98,2.305879
