"wavenumber","intensity"
674.9918,1.219347
678.8489,1.251825
682.706,1.252285
686.5631,1.267599
690.4202,1.27229
694.2773,1.262165
698.1344,1.249367
701.9915,1.244693
705.8486,1.238374
709.7057,1.230374
713.5628,1.226776
717.4199,1.221127
721.277,1.217908
725.1341,1.225095
728.9911,1.227745
732.8483,1.210745
736.7054,1.176302
740.5624,1.14494
744.4196,1.126295
748.2767,1.116285
752.1337,1.108693
755.9908,1.097782
759.848,1.08436
763.705,1.074271
767.5621,1.062194
771.4193,1.051433
775.2763,1.041829
779.1334,1.034774
782.9905,1.028315
786.8476,1.022314
790.7047,1.01942
794.5618,1.018167
798.4189,1.012219
802.276,0.9998896
806.1331,0.9865263
809.9902,0.9765239
813.8473,0.9694763
817.7043,0.9633833
821.5615,0.9557897
825.4186,0.9505699
829.2756,0.9466545
833.1328,0.943645
836.9899,0.9418623
840.8469,0.9406734
844.704,0.9384344
848.5612,0.9368621
852.4182,0.9343151
856.2753,0.9301462
860.1324,0.9260798
863.9895,0.9239375
867.8466,0.9242997
871.7037,0.9270639
875.5608,0.9295282
879.4179,0.9322802
883.275,0.9333528
887.1321,0.9336678
890.9892,0.9355041
894.8463,0.9414691
898.7034,0.9539657
902.5605,0.9778634
906.4176,0.996338
910.2747,0.9956223
914.1318,0.9928854
917.9889,0.9995731
921.8459,1.017221
925.7031,1.052751
929.5602,1.113884
933.4172,1.173048
937.2744,1.156039
941.1315,1.084293
944.9885,1.026308
948.8456,0.9907142
952.7028,0.9687755
956.5598,0.9543148
960.4169,0.9442075
964.274,0.9389954
968.1311,0.9357796
971.9882,0.9362286
975.8453,0.9409308
979.7024,0.9486373
983.5595,0.9610208
987.4166,0.9732043
991.2737,0.9794507
995.1308,0.9887475
998.9879,1.001672
1002.845,1.013425
1006.702,1.023675
1010.559,1.031764
1014.416,1.034582
1018.273,1.033878
1022.13,1.035403
1025.988,1.041639
1029.845,1.051258
1033.702,1.063043
1037.559,1.076552
1041.416,1.084699
1045.273,1.07656
1049.13,1.061978
1052.987,1.053892
1056.844,1.051193
1060.701,1.053764
1064.559,1.053214
1068.416,1.04137
1072.273,1.02518
1076.13,1.014745
1079.987,1.013036
1083.844,1.018836
1087.701,1.024931
1091.558,1.030114
1095.415,1.033593
1099.272,1.033268
1103.13,1.032443
1106.987,1.030246
1110.844,1.027778
1114.701,1.026227
1118.558,1.026457
1122.415,1.030533
1126.272,1.039818
1130.129,1.059385
1133.986,1.095911
1137.843,1.134735
1141.7,1.149846
1145.558,1.150961
1149.415,1.14209
1153.272,1.119786
1157.129,1.09771
1160.986,1.087681
1164.843,1.093071
1168.7,1.11177
1172.557,1.146116
1176.414,1.190615
1180.271,1.21978
1184.129,1.220344
1187.986,1.220899
1191.843,1.24966
1195.7,1.300344
1199.557,1.325731
1203.414,1.295278
1207.271,1.244189
1211.128,1.207434
1214.985,1.190005
1218.842,1.19088
1222.699,1.207602
1226.557,1.216547
1230.414,1.215417
1234.271,1.221321
1238.128,1.230762
1241.985,1.238759
1245.842,1.24844
1249.699,1.262755
1253.556,1.277012
1257.413,1.291766
1261.271,1.311915
1265.128,1.334586
1268.985,1.358246
1272.842,1.377911
1276.699,1.381162
1280.556,1.363789
1284.413,1.332668
1288.27,1.30016
1292.127,1.277613
1295.984,1.264796
1299.841,1.259603
1303.698,1.256251
1307.556,1.245579
1311.413,1.230154
1315.27,1.21743
1319.127,1.210631
1322.984,1.210159
1326.841,1.21436
1330.698,1.216715
1334.555,1.214855
1338.412,1.2146
1342.27,1.221503
1346.127,1.233262
1349.984,1.247792
1353.841,1.264154
1357.698,1.279359
1361.555,1.296119
1365.412,1.317353
1369.269,1.334156
1373.126,1.334823
1376.983,1.31531
1380.84,1.293223
1384.698,1.275665
1388.555,1.258733
1392.412,1.23881
1396.269,1.216281
1400.126,1.202132
1403.983,1.202383
1407.84,1.2222
1411.697,1.26705
1415.554,1.317401
1419.411,1.328204
1423.269,1.301699
1427.125,1.28404
1430.983,1.282509
