"wavenumber","intensity"
674.9918,0.4548256
678.8489,0.4564912
682.706,0.4566537
686.5631,0.4570521
690.4202,0.4566386
694.2773,0.4550117
698.1344,0.45331
701.9915,0.451563
705.8486,0.4499649
709.7057,0.4480394
713.5628,0.4468281
717.4199,0.4453935
721.277,0.4432752
725.1341,0.4441534
728.9911,0.4447714
732.8483,0.4417167
736.7054,0.4359663
740.5624,0.4322612
744.4196,0.4309932
748.2767,0.4310322
752.1337,0.4299779
755.9908,0.4285949
759.848,0.4268849
763.705,0.4257594
767.5621,0.4242622
771.4193,0.4233955
775.2763,0.4231513
779.1334,0.4228713
782.9905,0.4224915
786.8476,0.4226273
790.7047,0.4229237
794.5618,0.4229295
798.4189,0.4223921
802.276,0.4207897
806.1331,0.4192664
809.9902,0.418452
813.8473,0.4181691
817.7043,0.4187582
821.5615,0.4186088
825.4186,0.4181135
829.2756,0.4184
833.1328,0.4189531
836.9899,0.4186452
840.8469,0.4188407
844.704,0.4188661
848.5612,0.4191664
852.4182,0.4197415
856.2753,0.419373
860.1324,0.4188242
863.9895,0.419073
867.8466,0.4187954
871.7037,0.4185522
875.5608,0.4192091
879.4179,0.4203853
883.275,0.4209293
887.1321,0.4215311
890.9892,0.4226507
894.8463,0.4241452
898.7034,0.4263558
902.5605,0.4288066
906.4176,0.4301276
910.2747,0.4297357
914.1318,0.4295178
917.9889,0.4316629
921.8459,0.435175
925.7031,0.439939
929.5602,0.4471702
933.4172,0.4518718
937.2744,0.4473779
941.1315,0.4389317
944.9885,0.4330504
948.8456,0.4306127
952.7028,0.4300144
956.5598,0.4291312
960.4169,0.4285882
964.274,0.4284157
968.1311,0.4286118
971.9882,0.428904
975.8453,0.4292468
979.7024,0.4305086
983.5595,0.4326
987.4166,0.4346485
991.2737,0.4356466
995.1308,0.4367457
998.9879,0.4383066
1002.845,0.4392729
1006.702,0.4401551
1010.559,0.4413834
1014.416,0.4422989
1018.273,0.4425068
1022.13,0.4425481
1025.988,0.4437206
1029.845,0.4459888
1033.702,0.4482232
1037.559,0.449188
1041.416,0.4491071
1045.273,0.4487198
1049.13,0.4488778
1052.987,0.4494796
1056.844,0.4499095
1060.701,0.450585
1064.559,0.4503365
1068.416,0.4485666
1072.273,0.4465084
1076.13,0.4454422
1079.987,0.4451047
1083.844,0.4450491
1087.701,0.4458097
1091.558,0.4469116
1095.415,0.4477327
1099.272,0.4481393
1103.13,0.4484108
1106.987,0.4485527
1110.844,0.4485168
1114.701,0.4482896
1118.558,0.4482872
1122.415,0.4488738
1126.272,0.4499843
1130.129,0.4518781
1133.986,0.4554464
1137.843,0.4592477
1141.7,0.4608725
1145.558,0.460585
1149.415,0.4596936
1153.272,0.4580146
1157.129,0.4565892
1160.986,0.4569281
1164.843,0.4584063
1168.7,0.4604103
1172.557,0.4638654
1176.414,0.4675946
1180.271,0.469226
1184.129,0.4692394
1187.986,0.4711844
1191.843,0.4765551
1195.7,0.4817979
1199.557,0.4800455
1203.414,0.4720818
1207.271,0.4653146
1211.128,0.462305
1214.985,0.4621454
1218.842,0.4635943
1222.699,0.4658953
1226.557,0.4672283
1230.414,0.4672691
1234.271,0.4679634
1238.128,0.4692427
1241.985,0.4708947
1245.842,0.4728319
1249.699,0.4746519
1253.556,0.4767022
1257.413,0.4790831
1261.271,0.4820546
1265.128,0.4850348
1268.985,0.4869386
1272.842,0.4870161
1276.699,0.4838052
1280.556,0.4778287
1284.413,0.4713865
1288.27,0.4671006
1292.127,0.4659477
1295.984,0.4659818
1299.841,0.4661684
1303.698,0.4661398
1307.556,0.4655051
1311.413,0.4648003
1315.27,0.464298
1319.127,0.464449
1322.984,0.4653004
