"wavenumber","intensity"
674.9918,1.114972
678.8489,1.141419
682.706,1.142015
686.5631,1.151041
690.4202,1.161997
694.2773,1.161838
698.1344,1.150407
701.9915,1.134256
705.8486,1.118995
709.7057,1.10989
713.5628,1.104166
717.4199,1.094111
721.277,1.089954
725.1341,1.099901
728.9911,1.104307
732.8483,1.085694
736.7054,1.047399
740.5624,1.011251
744.4196,0.9882463
748.2767,0.9762245
752.1337,0.9669577
755.9908,0.9579555
759.848,0.9488356
763.705,0.9412088
767.5621,0.9306738
771.4193,0.9214801
775.2763,0.9142824
779.1334,0.9067693
782.9905,0.8997356
786.8476,0.8951894
790.7047,0.8911533
794.5618,0.8876514
798.4189,0.8826159
802.276,0.8750589
806.1331,0.8651823
809.9902,0.8567793
813.8473,0.8499
817.7043,0.8453067
821.5615,0.8421401
825.4186,0.8394244
829.2756,0.8376983
833.1328,0.8368225
836.9899,0.8369838
840.8469,0.8374004
844.704,0.8367393
848.5612,0.8372566
852.4182,0.8352741
856.2753,0.8325024
860.1324,0.8297896
863.9895,0.8276284
867.8466,0.8281378
871.7037,0.8307773
875.5608,0.8324915
879.4179,0.8355266
883.275,0.8377519
887.1321,0.8401867
890.9892,0.8436498
894.8463,0.8501287
898.7034,0.8633397
902.5605,0.8841135
906.4176,0.8988559
910.2747,0.8970339
914.1318,0.8969861
917.9889,0.9100019
921.8459,0.9315592
925.7031,0.9688814
929.5602,1.029215
933.4172,1.080579
937.2744,1.056067
941.1315,0.9840312
944.9885,0.9277791
948.8456,0.8967623
952.7028,0.8794089
956.5598,0.8685633
960.4169,0.8616903
964.274,0.8562712
968.1311,0.8527471
971.9882,0.8527308
975.8453,0.8553977
979.7024,0.8608219
983.5595,0.8700408
987.4166,0.8785283
991.2737,0.8826759
995.1308,0.8862781
998.9879,0.8915644
1002.845,0.8985251
1006.702,0.9080264
1010.559,0.9173033
1014.416,0.9228011
1018.273,0.924749
1022.13,0.9257374
1025.988,0.9293193
1029.845,0.9368619
1033.702,0.9493057
1037.559,0.9655597
1041.416,0.9765015
1045.273,0.9710915
1049.13,0.9610223
1052.987,0.9590957
1056.844,0.9632382
1060.701,0.9694847
1064.559,0.9715089
1068.416,0.9616522
1072.273,0.9471356
1076.13,0.9385645
1079.987,0.9376126
1083.844,0.941637
1087.701,0.9483548
1091.558,0.954294
1095.415,0.9562945
1099.272,0.9575972
1103.13,0.9582608
1106.987,0.9567561
1110.844,0.9562426
1114.701,0.9585053
1118.558,0.9639744
1122.415,0.9717391
1126.272,0.9832169
1130.129,1.005453
1133.986,1.043434
1137.843,1.081751
1141.7,1.096699
1145.558,1.09498
1149.415,1.085449
1153.272,1.06533
1157.129,1.045382
1160.986,1.038338
1164.843,1.046368
1168.7,1.06881
1172.557,1.10785
1176.414,1.15449
1180.271,1.181133
1184.129,1.181994
1187.986,1.189733
1191.843,1.226587
1195.7,1.279949
1199.557,1.297771
1203.414,1.254619
1207.271,1.194876
1211.128,1.155297
1214.985,1.141423
1218.842,1.148661
1222.699,1.169479
1226.557,1.180341
1230.414,1.181653
1234.271,1.18929
1238.128,1.200415
1241.985,1.211668
1245.842,1.223009
1249.699,1.236687
1253.556,1.253318
1257.413,1.271807
1261.271,1.293074
1265.128,1.318755
1268.985,1.343228
1272.842,1.359215
1276.699,1.356088
1280.556,1.32725
1284.413,1.284665
1288.27,1.248811
1292.127,1.225106
1295.984,1.213493
1299.841,1.210846
1303.698,1.207405
1307.556,1.197966
1311.413,1.185649
1315.27,1.17393
1319.127,1.167878
1322.984,1.17033
1326.841,1.175595
1330.698,1.178129
1334.555,1.177712
1338.412,1.180641
1342.27,1.189555
1346.127,1.201662
1349.984,1.217409
1353.841,1.232744
1357.698,1.247016
1361.555,1.263633
1365.412,1.284791
1369.269,1.298644
1373.126,1.295037
1376.983,1.275011
1380.84,1.254916
1384.698,1.238237
1388.555,1.221997
1392.412,1.204426
1396.269,1.186241
1400.126,1.17747
1403.983,1.184284
1407.84,1.209815
1411.697,1.259025
1415.554,1.30994
1419.411,1.313772
1423.269,1.283036
1427.125,1.263328
1430.983,1.260805
1434.84,1.269823
1438.697,1.274415
1442.554,1.270217
1446.411,1.264805
1450.268,1.26833
1454.125,1.278094
1457.982,1.305579
1461.839,1.337458
1465.697,1.346858
1469.554,1.341768
1473.411,1.349051
1477.268,1.331713
1481.125,1.28191
