"wavenumber","intensity"
674.9918,0.6140992
678.8489,0.6786688
682.706,0.6786688
686.5631,0.6956394
690.4202,0.7001985
694.2773,0.7006727
698.1344,0.6891507
701.9915,0.6598479
705.8486,0.6454825
709.7057,0.6354802
713.5628,0.6244763
717.4199,0.6249681
721.277,0.624048
725.1341,0.6282001
728.9911,0.6280563
732.8483,0.6030008
736.7054,0.5664829
740.5624,0.5313806
744.4196,0.5010766
748.2767,0.486546
752.1337,0.476504
755.9908,0.4555065
759.848,0.437312
763.705,0.4245477
767.5621,0.4071972
771.4193,0.3856076
775.2763,0.3744928
779.1334,0.3689966
782.9905,0.3545003
786.8476,0.3400839
790.7047,0.3319747
794.5618,0.3254215
798.4189,0.3127076
802.276,0.2890236
806.1331,0.2600043
809.9902,0.2368662
813.8473,0.2192422
817.7043,0.2054733
821.5615,0.1963139
825.4186,0.1906687
829.2756,0.1873069
833.1328,0.1877535
836.9899,0.1878223
840.8469,0.1843358
844.704,0.1803023
848.5612,0.1785986
852.4182,0.1757935
856.2753,0.1727742
860.1324,0.1709148
863.9895,0.1723568
867.8466,0.1769497
871.7037,0.1848234
875.5608,0.1928943
879.4179,0.199512
883.275,0.2062234
887.1321,0.2137696
890.9892,0.2202047
894.8463,0.2313872
898.7034,0.2555551
902.5605,0.2920429
906.4176,0.3227842
910.2747,0.3325818
914.1318,0.3364738
917.9889,0.3505597
921.8459,0.3741411
925.7031,0.4176734
929.5602,0.4947589
933.4172,0.5724998
937.2744,0.5644149
941.1315,0.4746881
944.9885,0.3880139
948.8456,0.3328957
952.7028,0.3024818
956.5598,0.28608
960.4169,0.2754355
964.274,0.2696969
968.1311,0.2712753
971.9882,0.2771188
975.8453,0.2866516
979.7024,0.302491
983.5595,0.3272579
987.4166,0.3503085
991.2737,0.3612269
995.1308,0.3744513
998.9879,0.3914349
1002.845,0.4070847
1006.702,0.4180481
1010.559,0.4246688
1014.416,0.4298084
1018.273,0.4281277
1022.13,0.4288209
1025.988,0.4373672
1029.845,0.4509816
1033.702,0.4651155
1037.559,0.4735345
1041.416,0.4695134
1045.273,0.4527086
1049.13,0.4323137
1052.987,0.4159226
1056.844,0.4071559
1060.701,0.4068732
1064.559,0.4017639
1068.416,0.3816918
1072.273,0.3597246
1076.13,0.343489
1079.987,0.3347009
1083.844,0.3334554
1087.701,0.3392533
1091.558,0.342917
1095.415,0.3405639
1099.272,0.3374035
1103.13,0.3332507
1106.987,0.3306448
1110.844,0.3277209
1114.701,0.3238099
1118.558,0.3198932
1122.415,0.3194192
1126.272,0.3254175
1130.129,0.3466549
1133.986,0.388492
1137.843,0.4306683
1141.7,0.4484852
1145.558,0.448138
1149.415,0.4308207
1153.272,0.3970516
1157.129,0.3656044
1160.986,0.3540899
1164.843,0.3615381
1168.7,0.3844091
1172.557,0.425039
1176.414,0.4743663
1180.271,0.5029594
1184.129,0.5021824
1187.986,0.5016428
1191.843,0.5234673
1195.7,0.5596444
1199.557,0.579099
1203.414,0.5620527
1207.271,0.5198809
1211.128,0.4779795
1214.985,0.452824
1218.842,0.4510059
1222.699,0.4668224
1226.557,0.4751118
1230.414,0.4746666
1234.271,0.4797114
1238.128,0.4881865
1241.985,0.495803
1245.842,0.5026596
1249.699,0.5096817
1253.556,0.5173639
1257.413,0.5241036
1261.271,0.5324025
1265.128,0.5416883
1268.985,0.5490768
1272.842,0.5530094
1276.699,0.5513131
1280.556,0.5467535
1284.413,0.5362589
1288.27,0.5195372
1292.127,0.5043199
1295.984,0.4944933
1299.841,0.4889493
1303.698,0.4840058
1307.556,0.4750199
1311.413,0.4616202
1315.27,0.4492283
1319.127,0.4433565
1322.984,0.4465152
1326.841,0.4550624
1330.698,0.4588657
1334.555,0.458304
1338.412,0.4630508
1342.27,0.4726522
1346.127,0.4826587
1349.984,0.4954833
1353.841,0.509869
1357.698,0.5216076
1361.555,0.5294755
1365.412,0.5396211
1369.269,0.5476289
1373.126,0.5470456
1376.983,0.5366572
1380.84,0.5249934
1384.698,0.5160862
1388.555,0.5062424
1392.412,0.4907672
1396.269,0.4704486
1400.126,0.4546969
1403.983,0.4558607
1407.84,0.4781569
1411.697,0.5151471
1415.554,0.5423104
1419.411,0.5454066
1423.269,0.5359644
1427.125,0.531267
1430.983,0.5322565
1434.84,0.5351981
1438.697,0.5368036
1442.554,0.5334209
1446.411,0.5293063
1450.268,0.5293075
1454.125,0.5316992
1457.982,0.5428534
1461.839,0.55391
1465.697,0.5534031
1469.554,0.5500391
1473.411,0.547546
1477.268,0.5401934
1481.125,0.5229284
1484.982,0.4994862
1488.839,0.4815578
1492.696,0.4776971
1496.553,0.4840401
1500.41,0.4952183
1504.268,0.502544
1508.125,0.5190638
1511.982,0.5369622
1515.839,0.5452409
1519.696,0.5493121
