"wavenumber","intensity"
674.9918,-0.1152273
678.8489,-0.1114841
682.706,-0.1114207
686.5631,-0.1096312
690.4202,-0.1115964
694.2773,-0.1138361
698.1344,-0.1142713
701.9915,-0.117823
705.8486,-0.1189422
709.7057,-0.1161682
713.5628,-0.1132154
717.4199,-0.1173349
721.277,-0.1209389
725.1341,-0.1204371
728.9911,-0.1181772
732.8483,-0.1221034
736.7054,-0.1265222
740.5624,-0.1312651
744.4196,-0.1352275
748.2767,-0.1374888
752.1337,-0.1386268
755.9908,-0.1417931
759.848,-0.1440768
763.705,-0.145409
767.5621,-0.1486695
771.4193,-0.1530785
775.2763,-0.1545321
779.1334,-0.1564868
782.9905,-0.1604615
786.8476,-0.1636189
790.7047,-0.16571
794.5618,-0.1684527
798.4189,-0.1714824
802.276,-0.1767921
806.1331,-0.1826222
809.9902,-0.1870078
813.8473,-0.189917
817.7043,-0.1934616
821.5615,-0.1964463
825.4186,-0.1977314
829.2756,-0.199169
833.1328,-0.1994694
836.9899,-0.1983305
840.8469,-0.1986224
844.704,-0.2011998
848.5612,-0.2026515
852.4182,-0.2049444
856.2753,-0.2081234
860.1324,-0.2086995
863.9895,-0.2085718
867.8466,-0.2082236
871.7037,-0.206525
875.5608,-0.205352
879.4179,-0.2063821
883.275,-0.2065282
887.1321,-0.2055538
890.9892,-0.2059323
894.8463,-0.2046216
898.7034,-0.2000096
902.5605,-0.1938757
906.4176,-0.1904693
910.2747,-0.1916012
914.1318,-0.1914205
917.9889,-0.1883804
921.8459,-0.1832887
925.7031,-0.1750767
929.5602,-0.1632381
933.4172,-0.1527018
937.2744,-0.1531044
941.1315,-0.1663394
944.9885,-0.1831528
948.8456,-0.1948529
952.7028,-0.2024248
956.5598,-0.2081956
960.4169,-0.2111227
964.274,-0.2123727
968.1311,-0.2125174
971.9882,-0.2120824
975.8453,-0.211353
979.7024,-0.2082783
983.5595,-0.2044558
987.4166,-0.2001974
991.2737,-0.198206
995.1308,-0.1978583
998.9879,-0.1968484
1002.845,-0.19583
1006.702,-0.1953694
1010.559,-0.1946356
1014.416,-0.1941682
1018.273,-0.1948221
1022.13,-0.1953774
1025.988,-0.1943105
1029.845,-0.191809
1033.702,-0.1895545
1037.559,-0.1891935
1041.416,-0.1904368
1045.273,-0.1931119
1049.13,-0.1965751
1052.987,-0.19994
1056.844,-0.2024063
1060.701,-0.2048222
1064.559,-0.2070423
1068.416,-0.209861
1072.273,-0.2130614
1076.13,-0.2153127
1079.987,-0.2158869
1083.844,-0.215317
1087.701,-0.2132691
1091.558,-0.2120011
1095.415,-0.2137313
1099.272,-0.2145316
1103.13,-0.2140445
1106.987,-0.2134214
1110.844,-0.2129654
1114.701,-0.2135088
1118.558,-0.2128771
1122.415,-0.2104065
1126.272,-0.2061405
1130.129,-0.1998903
1133.986,-0.191739
1137.843,-0.1850044
1141.7,-0.1827154
1145.558,-0.1831138
1149.415,-0.1850166
1153.272,-0.1891212
1157.129,-0.1944061
1160.986,-0.1968294
1164.843,-0.1945028
1168.7,-0.1899058
1172.557,-0.1838529
1176.414,-0.1762894
1180.271,-0.1715614
1184.129,-0.171124
1187.986,-0.1707888
1191.843,-0.1673603
1195.7,-0.1616279
1199.557,-0.1600859
1203.414,-0.1654487
1207.271,-0.173155
1211.128,-0.1779818
1214.985,-0.1795904
1218.842,-0.1780822
1222.699,-0.1749846
1226.557,-0.1726387
1230.414,-0.1712437
1234.271,-0.1701073
1238.128,-0.1698725
1241.985,-0.169993
1245.842,-0.1693713
1249.699,-0.168052
1253.556,-0.16629
1257.413,-0.1655706
1261.271,-0.1646504
1265.128,-0.1625269
1268.985,-0.1613222
1272.842,-0.161049
1276.699,-0.161809
1280.556,-0.1646552
1284.413,-0.1676188
1288.27,-0.1704085
1292.127,-0.1726594
1295.984,-0.1741432
1299.841,-0.175416
1303.698,-0.1765104
1307.556,-0.1784651
1311.413,-0.1805242
1315.27,-0.1821549
1319.127,-0.1825369
1322.984,-0.1816691
1326.841,-0.1802576
1330.698,-0.1799856
1334.555,-0.1804793
1338.412,-0.179971
1342.27,-0.1781662
1346.127,-0.1766098
1349.984,-0.1749535
1353.841,-0.1729547
1357.698,-0.1714483
1361.555,-0.1704836
1365.412,-0.1686164
