"wavenumber","intensity"
674.9918,0.1803578
678.8489,0.1876669
682.706,0.1876669
686.5631,0.1957203
690.4202,0.196914
694.2773,0.192958
698.1344,0.1927312
701.9915,0.1916112
705.8486,0.1867925
709.7057,0.1851116
713.5628,0.1859782
717.4199,0.1821528
721.277,0.1786817
725.1341,0.1813096
728.9911,0.1852862
732.8483,0.1757527
736.7054,0.159455
740.5624,0.1393117
744.4196,0.1251535
748.2767,0.1186567
752.1337,0.1124658
755.9908,0.1044742
759.848,0.09652649
763.705,0.09048904
767.5621,0.08261155
771.4193,0.07495079
775.2763,0.07009031
779.1334,0.06568348
782.9905,0.05933886
786.8476,0.05298556
790.7047,0.04905396
794.5618,0.04825823
798.4189,0.0424788
802.276,0.0273994
806.1331,0.0104115
809.9902,-0.003711673
813.8473,-0.01154359
817.7043,-0.01679541
821.5615,-0.02154047
825.4186,-0.02408911
829.2756,-0.02516768
833.1328,-0.02680708
836.9899,-0.02870437
840.8469,-0.0303864
844.704,-0.03456933
848.5612,-0.03720742
852.4182,-0.04068325
856.2753,-0.0446034
860.1324,-0.04457066
863.9895,-0.04235726
867.8466,-0.04004865
871.7037,-0.03502369
875.5608,-0.02903245
879.4179,-0.02472642
883.275,-0.02061289
887.1321,-0.01570148
890.9892,-0.01011011
894.8463,-0.0006832164
898.7034,0.01450591
902.5605,0.03612427
906.4176,0.05236876
910.2747,0.05397448
914.1318,0.05283948
917.9889,0.05650136
921.8459,0.06608911
925.7031,0.08582707
929.5602,0.1166056
933.4172,0.1421112
937.2744,0.1337234
941.1315,0.09793457
944.9885,0.06407497
948.8456,0.04443786
952.7028,0.03273892
956.5598,0.02357265
960.4169,0.01778051
964.274,0.01600604
968.1311,0.01888717
971.9882,0.0244322
975.8453,0.03045521
979.7024,0.04075916
983.5595,0.0529689
987.4166,0.06574627
991.2737,0.07655934
995.1308,0.08431661
998.9879,0.09152034
1002.845,0.09689009
1006.702,0.09973766
1010.559,0.1021185
1014.416,0.1027983
1018.273,0.10174
1022.13,0.10249
1025.988,0.1070267
1029.845,0.1115842
1033.702,0.1157059
1037.559,0.1192024
1041.416,0.1187743
1045.273,0.1107188
1049.13,0.09987988
1052.987,0.09068236
1056.844,0.08458465
1060.701,0.08014061
1064.559,0.07626425
1068.416,0.07025854
1072.273,0.06090896
1076.13,0.05431547
1079.987,0.05096296
1083.844,0.05095025
1087.701,0.05518517
1091.558,0.05721995
1095.415,0.05478707
1099.272,0.0523485
1103.13,0.05150926
1106.987,0.05119779
1110.844,0.04972424
1114.701,0.04789899
1118.558,0.04767473
1122.415,0.04889726
1126.272,0.05306841
1130.129,0.06438199
1133.986,0.08316757
1137.843,0.1014942
1141.7,0.1080265
1145.558,0.1067498
1149.415,0.09930082
1153.272,0.08477645
1157.129,0.07114764
1160.986,0.06549785
1164.843,0.06927487
1168.7,0.08063442
1172.557,0.09909377
1176.414,0.1226285
1180.271,0.1367061
1184.129,0.1358894
1187.986,0.1358957
1191.843,0.1473002
1195.7,0.1642248
1199.557,0.1685945
1203.414,0.1553956
1207.271,0.1347892
1211.128,0.1184489
1214.985,0.1107384
1218.842,0.1134211
1222.699,0.1228093
1226.557,0.1274558
1230.414,0.1294053
1234.271,0.133376
1238.128,0.1368931
1241.985,0.1403517
1245.842,0.1451124
1249.699,0.1497498
1253.556,0.153441
1257.413,0.1570676
1261.271,0.1622716
1265.128,0.1682747
1268.985,0.1732432
1272.842,0.1755463
1276.699,0.1743059
1280.556,0.1679374
1284.413,0.1580406
1288.27,0.1469691
1292.127,0.1378134
1295.984,0.131643
1299.841,0.1285466
1303.698,0.1260148
1307.556,0.1204491
1311.413,0.1129107
1315.27,0.1070086
1319.127,0.1050095
1322.984,0.1075701
1326.841,0.1119017
1330.698,0.1131474
1334.555,0.1123605
1338.412,0.114082
1342.27,0.120419
1346.127,0.1269595
1349.984,0.1344361
1353.841,0.1430585
1357.698,0.1510228
1361.555,0.1579112
1365.412,0.1665215
1369.269,0.1728693
1373.126,0.1716838
1376.983,0.1634736
1380.84,0.1557847
1384.698,0.1490129
1388.555,0.1400855
1392.412,0.1289463
1396.269,0.1169279
1400.126,0.1095035
1403.983,0.1109867
1407.84,0.1223945
1411.697,0.1434601
1415.554,0.1649797
1419.411,0.171245
1423.269,0.1636226
1427.125,0.1578144
1430.983,0.1579928
1434.84,0.1626609
1438.697,0.1649307
1442.554,0.163009
1446.411,0.1609299
1450.268,0.1610905
1454.125,0.1629639
1457.982,0.1711544
1461.839,0.181892
1465.697,0.1855959
1469.554,0.1825103
1473.411,0.1819358
1477.268,0.1780117
1481.125,0.161012
1484.982,0.1410184
1488.839,0.1295508
1492.696,0.1297281
1496.553,0.1350281
1500.41,0.143329
1504.268,0.1486642
1508.125,0.160714
1511.982,0.1739076
1515.839,0.1797434
1519.696,0.1869096
1523.553,0.1977135
1527.41,0.2033416
1531.267,0.2033561
1535.124,0.200728
1538.981,0.1962768
1542.838,0.1920874
1546.696,0.1938585
1550.553,0.1971191
1554.41,0.1966468
1558.267,0.1931838
1562.124,0.1936435
1565.981,0.1915117
1569.838,0.1848743
1573.695,0.1752832
1577.552,0.1644588
1581.409,0.1544367
1585.267,0.1442609
1589.124,0.1366834
1592.981,0.1327814
1596.838,0.1330642
1600.695,0.1395095
1604.552,0.150846
1608.409,0.1625776
1612.266,0.1702571
1616.123,0.1792877
1619.98,0.1896442
1623.837,0.194517
1627.695,0.1973315
1631.552,0.1971043
1635.409,0.1933442
1639.266,0.1891536
1643.123,0.1861497
1646.98,0.1823217
1650.837,0.1785444
1654.694,0.1778735
1658.551,0.1774974
1662.408,0.1742197
1666.266,0.1694233
1670.123,0.1570197
1673.98,0.1361368
1677.837,0.1101851
1681.694,0.07461297
1685.551,0.01203138
1689.408,-0.03058238
1693.265,-0.05712392
1697.122,-0.0783928
1700.979,-0.09617536
1704.837,-0.1045867
1708.694,-0.1122904
1712.551,-0.1177853
1716.408,-0.1254462
1720.265,-0.1321414
1724.122,-0.136557
1727.979,-0.1393586
1731.836,-0.1421728
1735.693,-0.1432065
1739.55,-0.1465994
1743.407,-0.1537734
1747.265,-0.165334
1751.122,-0.1770308
1754.979,-0.186279
1758.836,-0.1943829
1762.693,-0.2024841
1766.55,-0.2080066
1770.407,-0.2136053
1774.264,-0.2174944
1778.121,-0.2203142
1781.978,-0.2234143
1785.836,-0.2262368
1789.693,-0.227604
1793.55,-0.2295382
1797.407,-0.2317334
1801.264,-0.2329469
1805.121,-0.2330574
1808.978,-0.2342385
1812.835,-0.2356736
1816.692,-0.2365192
1820.549,-0.2371728
1824.406,-0.2379161
1828.264,-0.2385614
1832.121,-0.2395247
1835.978,-0.2397142
1839.835,-0.2401081
1843.692,-0.2403709
1847.549,-0.2403039
1851.406,-0.2400103
1855.263,-0.2397728
1859.12,-0.2395117
1862.977,-0.2393896
1866.835,-0.2384643
1870.692,-0.2369136
1874.549,-0.2363858
1878.406,-0.2364397
1882.263,-0.2362045
1886.12,-0.2371783
1889.977,-0.2383294
1893.834,-0.239157
1897.691,-0.2397138
1901.548,-0.2404668
1905.406,-0.2416396
1909.263,-0.2433786
1913.12,-0.24512
1916.977,-0.245651
1920.834,-0.2453071
1924.691,-0.2452015
1928.548,-0.2449054
1932.405,-0.2448259
1936.262,-0.2443869
